distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_dif,fuel_used,trip_cost
15.4,4.5,50,22.0,14,E10,0,0,0,8.0,0.693,1.21275
16.0,3.8,41,22.0,12,E10,0,0,0,10.0,0.608,1.064
4.2,5.6,32,22.0,18,E10,0,0,0,4.0,0.2352,0.41159999999999997
101.9,5.2,75,22.0,18,E10,0,0,0,4.0,5.298800000000001,9.272900000000002
93.9,4.8,88,23.0,18,E10,1,0,1,5.0,4.5072,7.8876
25.7,4.9,50,22.0,10,SP98,0,1,0,12.0,1.2593,2.367484
16.0,4.1,40,22.0,10,SP98,0,0,0,12.0,0.6559999999999999,1.2332799999999997
16.1,4.5,32,22.0,19,SP98,0,0,0,3.0,0.7245,1.36206
16.0,4.4,40,22.0,7,SP98,1,1,0,15.0,0.7040000000000001,1.32352
16.0,4.5,41,22.0,11,SP98,0,0,0,11.0,0.72,1.3536
24.7,4.5,26,22.0,10,SP98,0,0,0,12.0,1.1115,2.0896199999999996
16.0,3.9,42,22.0,8,SP98,0,0,0,14.0,0.624,1.17312
15.4,4.6,43,22.0,16,SP98,0,0,0,6.0,0.7084,1.331792
16.0,3.8,40,22.0,8,SP98,0,0,0,14.0,0.608,1.1430399999999998
32.1,4.5,50,22.0,16,SP98,0,0,0,6.0,1.4445000000000001,2.71566
25.9,4.4,40,22.0,14,SP98,0,0,0,8.0,1.1396,2.142448
48.6,4.3,44,22.0,12,SP98,0,0,0,10.0,2.0898,3.9288239999999996
37.2,4.0,45,22.0,20,SP98,0,0,1,2.0,1.4880000000000002,2.7974400000000004
28.8,3.9,35,22.0,15,SP98,0,0,1,7.0,1.1232,2.1116159999999997
6.7,5.0,30,22.0,17,SP98,0,0,0,5.0,0.335,0.6298
7.4,4.1,25,22.0,18,SP98,0,0,1,4.0,0.3034,0.570392
17.3,4.1,22,22.0,25,SP98,0,0,1,-3.0,0.7092999999999999,1.333484
6.6,5.6,43,22.0,16,SP98,0,0,0,6.0,0.36959999999999993,0.6948479999999998
14.3,4.1,26,22.0,20,SP98,0,0,0,2.0,0.5862999999999999,1.1022439999999998
13.3,4.6,33,22.0,18,SP98,0,0,0,4.0,0.6118,1.1501839999999999
8.3,4.9,26,22.0,23,SP98,0,0,0,-1.0,0.40670000000000006,0.764596
12.7,4.5,39,22.0,27,SP98,0,0,1,-5.0,0.5714999999999999,1.0744199999999997
16.5,4.1,47,22.0,14,SP98,0,0,0,8.0,0.6764999999999999,1.2718199999999997
20.6,4.1,38,22.0,21,SP98,0,0,0,1.0,0.8445999999999999,1.5878479999999997
16.3,4.5,58,22.0,16,SP98,0,0,0,6.0,0.7335,1.37898
18.7,4.2,65,25.0,18,SP98,1,0,1,7.0,0.7854,1.4765519999999999
36.5,3.9,54,23.0,18,SP98,0,0,1,5.0,1.4235,2.67618
19.0,5.0,35,22.0,15,SP98,1,0,1,7.0,0.9500000000000001,1.786
16.6,4.4,46,22.0,5,SP98,1,0,0,17.0,0.7304000000000002,1.3731520000000002
29.9,4.5,32,22.0,18,SP98,1,0,0,4.0,1.3455,2.52954
16.0,3.8,42,22.0,11,SP98,0,0,0,11.0,0.608,1.1430399999999998
21.1,5.1,33,22.0,10,SP98,0,1,0,12.0,1.0761,2.023068
16.0,3.9,40,22.0,10,SP98,0,0,0,12.0,0.624,1.17312
11.9,5.3,34,22.0,13,SP98,0,0,0,9.0,0.6307,1.185716
10.1,4.2,35,22.0,16,SP98,0,0,0,6.0,0.4242,0.797496
31.9,4.3,33,22.0,16,SP98,0,0,0,6.0,1.3717,2.5787959999999996
18.7,4.0,60,22.0,13,SP98,0,0,0,9.0,0.748,1.40624
10.8,4.7,48,22.0,17,SP98,0,0,1,5.0,0.5076,0.954288
19.8,4.0,56,22.0,17,SP98,0,0,1,5.0,0.792,1.48896
11.3,4.3,38,22.0,17,SP98,0,0,0,5.0,0.4859,0.913492
11.5,5.3,53,22.0,15,SP98,0,0,0,7.0,0.6094999999999999,1.1458599999999999
21.4,5.2,51,22.0,13,SP98,0,0,0,9.0,1.1128,2.0920639999999997
32.0,4.9,53,22.0,15,SP98,0,0,0,7.0,1.568,2.94784
